id,genre,duration_s,reference_text,reference_cleaned
comedy_09_first_12min_19.989_28.455,comedy,8.466,لو حد بص على ال# الترجمة بتاعتها في القاموس حيلاقي عدم اليقين بس ده ترجمة مش دقيقة برضه هو يقين ناقص,لو حد بص علي ال الترجمه بتاعتها في القاموس حيلاقي عدم اليقين بس ده ترجمه مش دقيقه برضه هو يقين ناقص
comedy_09_first_12min_28.455_37.159,comedy,8.704,وأول ملحوظة عايزين نلاحظها على الحكاية دي إن ما حدش بيبقى عارف اليقين ده ناقص قد إيه اليقين التأكد يعني الواحد يبقى متأكد مية في المية,واول ملحوظه عايزين نلاحظها علي الحكايه دي ان ما حدش بيبقي عارف اليقين ده ناقص قد ايه اليقين التاكد يعني الواحد يبقي متاكد ميه في الميه
comedy_09_first_12min_37.159_46.420,comedy,9.261,الناقص ممكن يبقى واحد ممكن يبقى عشرة ممكن يبقى تلاتين سبعين تسعة وتسعين بيفضل برضه إسمه (uncertainty),الناقص ممكن يبقي واحد ممكن يبقي عشره ممكن يبقي تلاتين سبعين تسعه وتسعين بيفضل برضه اسمه uncertainty
comedy_09_first_12min_46.420_53.657,comedy,7.237,كويس ده واحد الأسئلة اللي في الدنيا عندها شغلتين أساسيتين,كويس ده واحد الاسئله اللي في الدنيا عندها شغلتين اساسيتين
moviesDrama_68_first_12min_76.085_84.717,moviesDrama,8.632,الأمر المؤكد إذا أن الخيال مهما انطلق بعيدا عن الواقع,الامر المؤكد اذا ان الخيال مهما انطلق بعيدا عن الواقع
moviesDrama_68_first_12min_84.717_91.758,moviesDrama,7.041,فهو لا يعدو كونه سلوكا وكل سلوك على ضوء الحتمية السيكولوجية,فهو لا يعدو كونه سلوكا وكل سلوك علي ضوء الحتميه السيكولوجيه
moviesDrama_68_first_12min_91.758_99.586,moviesDrama,7.828,لابد وأن يكون له دلالة ومعنى، يسبق ذلك في# الاضطرابات الذهنية,لابد وان يكون له دلاله ومعني يسبق ذلك في الاضطرابات الذهنيه
moviesDrama_68_first_12min_99.586_107.511,moviesDrama,7.925,ك الشيزوفرانيا والبارا نويا والميلانكوليا كما يسبق أيضا على الأمراض العصبية,ك الشيزوفرانيا والبارا نويا والميلانكوليا كما يسبق ايضا علي الامراض العصبيه
moviesDrama_68_first_12min_107.511_117.478,moviesDrama,9.967,استني وريني ... مش معقول كده يا هاني ... وريني ... في حاجة؟ ... أنا؟ ... أيوه أنت أقف,استني وريني مش معقول كده يا هاني وريني في حاجه انا ايوه انت اقف
moviesDrama_68_first_12min_117.478_126.638,moviesDrama,9.16,عامل دوشة ليه من الصبح؟ ... بنقل منها,عامل دوشه ليه من الصبح بنقل منها
